id,name,category,price,maker,recommended_people,review_number,score,file_name,description,stock_status
1,和の香り癒しキャンドルセット,ホーム・インテリア,"3,980円",癒し工房ジャパン,忙しい日常に癒しを求める方、和風のデザインや香りを好む方に最適。,145,4.6,wa_candle_set.jpg,和の香り癒しキャンドルセットは、忙しい日々にホッとできるひとときを提供します。手作りの和風キャンドルが3種類の香りで、部屋を優雅に彩ります。自然由来の香料を使用し、安全性も高いのが特徴です。癒しの時間を求める方にとって、このキャンドルセットは心を落ち着かせる理想的な選択です。,あり
2,ポケットサイズ加湿器『潤いミスト』,家電,"2,480円",スリムテックジャパン,デスクワークが多い方や、乾燥が気になる季節に喉や肌を守りたい方に。,231,4.4,pocket_humidifier.jpg,ポケットサイズ加湿器『潤いミスト』は、乾燥が気になるデスクや寝室で活躍します。コンパクトで持ち運びやすく、USB充電式で使いやすさ抜群です。細かいミストが心地よく空間を潤します。喉や肌のケアを簡単に行いたい方におすすめのアイテムです。,あり
3,天然素材の竹製弁当箱,キッチン用品,"2,980円",エコライフスタイル,環境に優しいライフスタイルを目指す方、和の風情を楽しみたい方に。,89,4.8,bamboo_bento_box.jpg,天然素材の竹製弁当箱は、エコなライフスタイルをサポートします。軽量で持ち運びやすく、美しい木目が特徴的。お弁当を詰めるだけで、和の風情を感じることができます。使い勝手の良さとデザイン性を兼ね備えた一品です。,あり
4,高性能スポーツソックス『アクティブフィット』,スポーツ・アウトドア,"1,980円",ランニングプロダクツ,ジョギングやフィットネスを趣味とする方、長時間の運動で快適さを求める方に。,321,4.7,active_fit_socks.jpg,高性能スポーツソックス『アクティブフィット』は、運動中の足の快適さを追求しました。吸湿速乾性の高い素材を使用し、疲労を軽減するサポート設計を採用。ジョギングやジムでのトレーニングに最適で、足元をしっかりサポートします。,あり
5,プレミアム和紙ノート,文房具,"1,280円",伝統工房ノート,書き心地にこだわる方、和紙の質感を楽しみたい方に。,176,4.5,premium_washi_notebook.jpg,プレミアム和紙ノートは、和紙特有の優れた書き心地が特徴です。手作りで丁寧に仕上げられたデザインが、日々のメモやアイデアを特別なものにします。書く楽しさを味わいたい方にぴったりのアイテムです。,あり
6,折りたたみ式ポータブルチェア『リラックスシート』,アウトドア用品,"4,980円",トレイルマスターズ,キャンプやピクニックを楽しむ方、軽量でコンパクトなチェアを探している方に。,203,4.5,portable_chair.jpg,折りたたみ式ポータブルチェア『リラックスシート』は、アウトドアでの快適な座り心地を提供します。軽量で持ち運びが簡単、頑丈な素材を使用し耐久性も抜群。キャンプやフェス、ピクニックで大活躍するアイテムです。手軽にアウトドアの楽しみを広げたい方におすすめです。,あり
7,防滴仕様ワイヤレススピーカー『クリアサウンド』,オーディオ機器,"7,980円",サウンドウェーブジャパン,お風呂やアウトドアで音楽を楽しみたい方、防水性能を求める方に。,278,4.3,wireless_speaker.jpg,防滴仕様ワイヤレススピーカー『クリアサウンド』は、水回りでも安心して使用できる高性能スピーカーです。コンパクトながら迫力のある音質を実現。Bluetooth接続で簡単にスマホやタブレットとペアリング可能。アウトドアやリラックスタイムをもっと楽しくしてくれる一品です。,あり
8,折りたたみ式トラベルアイロン『スムースプレス』,家電,"3,480円",ホームスタイラージャパン,出張や旅行中でも身だしなみに気を配りたい方、携帯性を重視する方に。,132,4.4,travel_iron.jpg,折りたたみ式トラベルアイロン『スムースプレス』は、コンパクトで持ち運びやすい設計が特徴です。衣類をしっかりとプレスし、いつでも清潔感をキープできます。旅行や出張での使用に最適な便利アイテムです。,あり
9,快眠サポート枕『リフレッシュピロー』,寝具,"5,980円",ドリームコンフォート,質の高い睡眠を求める方、肩こりや首の負担を軽減したい方に。,346,4.7,refresh_pillow.jpg,快眠サポート枕『リフレッシュピロー』は、睡眠中の快適さを追求した設計です。特許取得済みのサポート構造で首や肩の負担を軽減。高品質な素材を使用し、長時間の使用でもへたりにくいのが特徴です。快適な睡眠環境を整えたい方にぜひお試しいただきたい商品です。,あり
10,多機能ビジネスリュック『プロキャリア』,バッグ・小物,"9,980円",キャリアデザインワークス,通勤や出張で使いやすいバッグを探している方、多機能性を重視する方に。,189,4.6,business_backpack.jpg,多機能ビジネスリュック『プロキャリア』は、ビジネスシーンに最適なデザインと機能性を兼ね備えています。収納力抜群で、ノートパソコンや書類も整理しやすい構造。防水加工が施されており、雨の日でも安心して使用可能です。働く人をサポートする頼もしいアイテムです。,あり
